#['../main.py', '--dataset=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--oracle-steps=30', '--oracle-restarts=40', '--constraint=AlsomitraProperty4', '--experiment-name=AlsomitraProperty4', '--logic=GD']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6687584484324736,0.0,0.0,0.8177765011787415,1.0,1.0,0.0,1.968449592590332
1,0.574721548292372,0.0,0.0,1.0089850425720215,0.9910150766372681,0.7571990225050185,1.0,1.0,0.4449212971855612,0.0,0.0,0.6670241951942444,1.0,1.0,6.551529169082642,1.8581080436706543
2,0.35309086905585396,0.0,0.0,1.017706274986267,0.9822937846183777,0.5915765232510037,1.0,1.0,0.25225527146283316,0.0,0.0,0.5022501945495605,1.0,1.0,6.50207781791687,1.8328728675842285
3,0.18230264716678196,0.0,0.0,1.0254921913146973,0.974507749080658,0.42366380161709255,1.0,1.0,0.13758569605210247,0.0,0.0,0.3709254562854767,1.0,1.0,6.358478307723999,1.8263180255889893
4,0.11196188131968181,0.00012299356361230215,0.0,1.0309778451919556,0.9690220952033997,0.33340636889139813,0.9947916666666666,1.0,0.11419738741482005,0.00023582709186217363,0.0,0.3379310369491577,0.9852941176470589,1.0,6.502103328704834,1.8396499156951904
5,0.10262240303887261,0.000995519674486584,0.0,1.0349003076553345,0.9650996327400208,0.31900495953030056,0.9427083333333334,1.0,0.10509278493769028,0.0006450866075123058,0.0,0.3241801857948303,0.9558823529411765,1.0,6.493378639221191,1.8347856998443604
6,0.09207901027467516,0.000582356316347917,0.0,1.0381160974502563,0.9618838429450989,0.30259794659084743,0.9565972222222222,1.0,0.08628399231854607,0.0,0.0,0.293741375207901,1.0,1.0,6.498407602310181,1.8430919647216797
7,0.07794140444861518,3.209875689612495e-05,0.0,1.0405468940734863,0.9594532251358032,0.27822144826253253,0.9965277777777778,1.0,0.07450002782485064,0.0,0.0,0.27294695377349854,1.0,1.0,6.439590930938721,1.8643662929534912
8,0.07065217362509833,0.0,0.0,1.0425708293914795,0.9574292302131653,0.2655946413675944,1.0,1.0,0.06466927949120016,0.0,0.0,0.2543015480041504,1.0,1.0,6.473073720932007,1.8286542892456055
9,0.061977763970692955,1.247020231352912e-05,0.0,1.0443036556243896,0.9556964635848999,0.24835920333862305,0.9982638888888888,1.0,0.05595526274512796,0.0,0.0,0.23654864728450775,1.0,1.0,6.484051704406738,1.8695621490478516
10,0.05499576528867086,9.926781058311462e-05,0.0,1.045858383178711,0.9541417360305786,0.23415321773952907,0.9878472222222222,1.0,0.05007032787098604,0.00010082870721817017,0.0,0.22376400232315063,0.9926470588235294,1.0,6.452662944793701,1.8540637493133545
11,0.051460838980144925,0.0008743401202890608,0.0,1.047649621963501,0.952350378036499,0.22474031978183323,0.9444444444444444,1.0,0.04574492749045877,0.001517341417424819,0.0,0.21388064324855804,0.8823529411764706,1.0,6.475970029830933,1.8157258033752441
12,0.04610482851664225,0.004620220098230574,8.267971376578013e-06,1.0491359233856201,0.9508640766143799,0.21390659279293484,0.6770833333333334,0.984375,0.04346617179758409,0.001734362367321463,0.0,0.2084854245185852,0.8014705882352942,1.0,6.43040919303894,1.8348731994628906
13,0.043516443835364446,0.001490293691555659,0.0,1.0500916242599487,0.9499083161354065,0.20799597104390463,0.9201388888888888,1.0,0.04171072384890388,5.025197477901683e-05,0.0,0.20423203706741333,0.9852941176470589,1.0,6.433518886566162,1.8268322944641113
14,0.042640861537721425,0.00045345847805341083,2.017213652531306e-05,1.0513204336166382,0.9486796855926514,0.20634766419728598,0.9774305555555556,0.9913194444444444,0.04104679822921753,0.0010306944741922267,0.0,0.20260009169578552,0.9852941176470589,1.0,6.485408067703247,1.836510419845581
15,0.04032849603229099,0.000170217826962471,2.520293411281374e-05,1.052222728729248,0.9477772116661072,0.20005612903171116,0.9965277777777778,0.9895833333333334,0.038880593636456656,0.00014621589113684262,0.0,0.19718162715435028,0.9926470588235294,1.0,6.434286832809448,1.8411180973052979
16,0.03865521483951145,0.0,0.0,1.0530829429626465,0.9469171762466431,0.19540233082241482,1.0,1.0,0.03757675605661729,0.0,0.0,0.19384725391864777,1.0,1.0,6.49591851234436,1.8382220268249512
17,0.03770746125115289,0.0002162865259581142,2.3347532583607568e-05,1.0538307428359985,0.946169376373291,0.19374344083997938,0.9965277777777778,0.9930555555555556,0.035901949686162615,0.0013673971681033865,0.0,0.1894780993461609,0.9779411764705882,1.0,6.502558946609497,1.8791289329528809
18,0.03596972756915622,0.00025962355236212414,1.9434011644787257e-05,1.0548175573349,0.9451823234558105,0.18917785750495064,0.9982638888888888,0.9947916666666666,0.034463310942930335,0.0012823566794395447,1.0202912723316866e-05,0.18564297258853912,0.9926470588235294,0.9926470588235294,6.486701011657715,1.8177709579467773
19,0.035124626424577504,0.0001883411573039161,1.2862599558300442e-06,1.055506706237793,0.9444932341575623,0.18686857488420275,0.9982638888888888,0.9982638888888888,0.03291626537547392,0.0016259336296249839,0.0,0.18142840266227722,0.9852941176470589,1.0,6.43561863899231,1.8310284614562988
20,0.03355052736070421,0.00013765454706218507,0.0,1.0569536685943604,0.9430462121963501,0.18212571409013537,0.9982638888888888,1.0,0.031933104290681726,0.0016244557850501116,0.0,0.1786983609199524,0.9852941176470589,1.0,6.47709584236145,1.8395884037017822
21,0.033214946587880455,0.0005875805185900794,4.719942808151245e-06,1.0584938526153564,0.9415060877799988,0.18150949478149414,0.9965277777777778,0.9965277777777778,0.030047185280743766,0.0,3.3593353103188907e-06,0.17334124445915222,1.0,0.9852941176470589,6.41175651550293,1.8192930221557617
22,0.030959202183617487,0.0014354875311255455,4.9002054664823745e-06,1.059899091720581,0.9401010274887085,0.17570286326938206,0.9930555555555556,0.9947916666666666,0.02922592092962826,0.0019786598927834455,0.0,0.17095591127872467,0.9852941176470589,1.0,6.44568657875061,1.8385019302368164
23,0.030266688929663763,0.0,0.0,1.0617798566818237,0.9382201433181763,0.17296160591973198,1.0,1.0,0.027071609216577867,0.0006249209537225612,0.0,0.1645345240831375,0.9926470588235294,1.0,6.49475359916687,1.8446176052093506
24,0.0289515753587087,0.0003114346828725603,0.0,1.063549280166626,0.9364506006240845,0.16944404443105063,0.9982638888888888,1.0,0.026013069293078256,0.002378225326538086,0.0,0.1612856686115265,0.9852941176470589,1.0,6.396720886230469,1.7827928066253662
25,0.02773524158530765,0.0003850208595395088,0.0,1.0653523206710815,0.9346477389335632,0.1662056843439738,0.9965277777777778,1.0,0.024854246307821834,0.0016665927627507377,2.6475419016445385e-05,0.15765230357646942,0.9926470588235294,0.9852941176470589,6.419922828674316,1.8725814819335938
26,0.026952198810047574,0.0002676039520237181,3.799423575401306e-05,1.0667510032653809,0.9332489371299744,0.1635306543774075,0.9982638888888888,0.9913194444444444,0.023555995786891264,0.0,0.0002834507647682639,0.15347962081432343,1.0,0.9632352941176471,6.562880992889404,1.84873628616333
27,0.025599431660440233,0.00016381219029426575,4.450004133913252e-05,1.0671780109405518,0.932822048664093,0.15936472680833605,0.9982638888888888,0.9947916666666666,0.022792702212053186,0.0020851878558888156,0.0,0.15097251534461975,0.9852941176470589,1.0,6.511921405792236,1.8125026226043701
28,0.02407885922325982,0.0006037580056322946,0.0,1.068092942237854,0.9319071173667908,0.15398059950934517,0.9947916666666666,1.0,0.02142972104689654,0.0015117688214077668,0.0,0.1463889330625534,0.9926470588235294,1.0,6.497190952301025,1.8520724773406982
29,0.023495415846506756,0.0005139186978340149,4.2944422198666464e-05,1.0693907737731934,0.9306091666221619,0.15275990962982178,0.9947916666666666,0.9947916666666666,0.020429534070632038,0.0014270758804152993,0.0,0.14293192327022552,0.9926470588235294,1.0,6.55823540687561,1.833756685256958
30,0.022590075929959614,0.0004204562347796228,0.0,1.0708520412445068,0.9291478991508484,0.14982914924621582,0.9982638888888888,1.0,0.019925937933080336,0.0,0.0,0.1411592662334442,1.0,1.0,6.360183954238892,1.805370569229126
31,0.021704660521613225,0.0003502847005923589,2.2144781218634712e-08,1.0722142457962036,0.9277856945991516,0.14687118265363905,0.9982638888888888,0.9982638888888888,0.01872460631763234,0.0017826706171035767,0.0,0.1368378847837448,0.9926470588235294,1.0,6.410606384277344,2.053924798965454
32,0.020755532715055678,0.0008738890497220887,1.7029233276844025e-05,1.0737351179122925,0.9262648820877075,0.14363164371914333,0.9947916666666666,0.9965277777777778,0.0177001672632554,0.0009801002109751983,0.00022664622348897597,0.13304197788238525,0.9926470588235294,0.9705882352941176,6.489873886108398,1.8174455165863037
33,0.01967124144236247,0.0006870453556378683,8.582406573825412e-05,1.0739275217056274,0.926072359085083,0.13989166418711343,0.9965277777777778,0.9895833333333334,0.01684182181077845,0.0008039969731779659,1.5183406717637007e-05,0.12977604568004608,0.9926470588235294,0.9852941176470589,6.405871152877808,1.839665174484253
34,0.018984648916456435,0.00031888515998919803,0.0,1.0746163129806519,0.9253838062286377,0.137049224641588,0.9965277777777778,1.0,0.015831102343166575,0.004905414931914385,1.0265146984773524e-05,0.12582170963287354,0.9779411764705882,0.9926470588235294,6.425450563430786,1.83375883102417
35,0.01784787078698476,0.0006042620581057337,0.00010980406983031167,1.0750148296356201,0.9249852299690247,0.13226440217759874,0.9947916666666666,0.984375,0.015176497838076423,0.0010613593108513776,0.0,0.1231929287314415,0.9926470588235294,1.0,6.36934494972229,1.8358020782470703
36,0.017727568745613098,0.0009588973803652658,0.0,1.0755081176757812,0.9244918823242188,0.1323117282655504,0.9947916666666666,1.0,0.014242878731559305,0.0034852856222321003,0.0,0.11934353411197662,0.9779411764705882,1.0,6.393518686294556,1.810762882232666
37,0.016678474015659757,0.00026237178179952834,4.792379008399115e-06,1.077350378036499,0.9226496815681458,0.12828702396816677,0.9965277777777778,0.9982638888888888,0.013762305764590992,0.0007702984354075263,0.0002914873116156634,0.11731285601854324,0.9926470588235294,0.9705882352941176,6.45876932144165,1.822192907333374
38,0.015195440914895799,0.0,3.139105521970325e-05,1.0789424180984497,0.9210575222969055,0.12252553304036458,1.0,0.9965277777777778,0.012552073773215799,0.0030579974546152003,0.0001135297557886909,0.11203604191541672,0.9779411764705882,0.9705882352941176,6.4285595417022705,1.8002941608428955
39,0.01449755827585856,0.0,7.975525740120147e-05,1.080375075340271,0.9196250438690186,0.11984309885236952,1.0,0.9913194444444444,0.011641426121487337,0.003794069237568799,0.00015114510760587806,0.10789544135332108,0.9779411764705882,0.9705882352941176,6.442173480987549,1.8033051490783691
40,0.01386411984761556,0.0003681503650214937,0.0,1.0815850496292114,0.918414831161499,0.11737524138556586,0.9965277777777778,1.0,0.011019576998317944,0.0,8.786425871007582e-06,0.1049741730093956,1.0,0.9926470588235294,6.425590991973877,1.8207781314849854
