#['../main.py', '--dataset=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--oracle-steps=30', '--oracle-restarts=40', '--constraint=AlsomitraProperty4', '--experiment-name=AlsomitraProperty4']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6687584484324736,0.0002586514524677221,0.005268733291064992,0.8177765011787415,1.0,1.0,0.0,1.9323093891143799
1,0.5747287538316515,8.994357065401143e-05,0.005549495004945331,1.0,1.0,0.7572041087680392,1.0,1.0,0.44495495627908144,0.00024699055425384463,0.006125514998155481,0.6670494675636292,1.0,1.0,5.533199071884155,1.8013160228729248
2,0.35319831636216903,0.00014955074422889284,0.00626290382610427,1.0,1.0,0.5916713608635796,1.0,1.0,0.2524622468387379,0.00059558916836977,0.0070489855373606965,0.5024561882019043,1.0,1.0,5.4581520557403564,1.79622220993042
3,0.1825934648513794,0.0005529321109255155,0.00715281069278717,1.0,1.0,0.42401531007554794,1.0,1.0,0.13789695851943073,0.0011268964804270688,0.008603988324894625,0.37134480476379395,1.0,1.0,5.457019567489624,1.794543743133545
4,0.11208226945665148,0.0023417280366023383,0.008411100341214074,1.0,1.0,0.3335791163974338,0.9947916666666666,1.0,0.1141207638908835,0.005247217329109416,0.010453903499771567,0.33781763911247253,0.9852941176470589,1.0,5.481756210327148,1.8201870918273926
5,0.10260653495788574,0.007360876434379154,0.009703300065464444,1.0,1.0,0.3189854356977675,0.9427083333333334,1.0,0.10540011349846334,0.007012031972408295,0.011460737270467421,0.32465383410453796,0.9558823529411765,1.0,5.476934432983398,1.8294329643249512
6,0.09244144625133938,0.006060183048248291,0.010381788843207888,1.0,1.0,0.30319976806640625,0.9548611111111112,1.0,0.08671036187340231,0.00236603179398705,0.011909419999403112,0.2944662272930145,1.0,1.0,5.559486389160156,1.8363473415374756
7,0.07823485798305935,0.0022335644397470686,0.011294311119450463,1.0,1.0,0.27874000867207843,0.9965277777777778,1.0,0.07486751500297995,0.0016647314324098475,0.012895167750470778,0.27361929416656494,1.0,1.0,5.472028493881226,1.793189525604248
8,0.0709865755505032,0.0020182163765033088,0.012737081282668643,1.0,1.0,0.2662239869435628,1.0,1.0,0.06516901885761935,0.001983893706518061,0.01455739140510559,0.2552822530269623,1.0,1.0,5.517524719238281,1.8183979988098145
9,0.062427779038747154,0.0028011836111545563,0.014709969361623129,1.0,1.0,0.2492600811852349,0.9982638888888888,1.0,0.05644027275197646,0.003160023513962241,0.01670754306456622,0.2375716120004654,1.0,1.0,5.475781679153442,1.8154711723327637
10,0.05540290806028578,0.004259210079908371,0.017330389883783128,1.0,1.0,0.23501676983303493,0.9895833333333334,1.0,0.05044854388517492,0.00411761858884026,0.019544157911749446,0.22460752725601196,0.9926470588235294,1.0,5.520495176315308,1.8955295085906982
11,0.05185515350765652,0.008668426010343764,0.020897860328356426,1.0,1.0,0.22559886508517796,0.9461805555555556,1.0,0.04611131373573752,0.01478036361582139,0.02362886246512918,0.21473544836044312,0.8970588235294118,1.0,5.572088241577148,1.845386028289795
12,0.04644713136884901,0.03312047653728061,0.025451759497324627,1.0,1.0,0.21469344033135307,0.7239583333333334,1.0,0.043624099563149846,0.070877005072201,0.02850002225707559,0.20886382460594177,0.47058823529411764,0.9044117647058824,5.577025890350342,1.8646063804626465
13,0.04357359144422743,0.18623862001630995,0.030724896325005427,1.0,1.0,0.20813014772203234,0.22916666666666666,0.7552083333333334,0.041612463838913864,0.3563562561483944,0.03413974537568934,0.2039913386106491,0.21323529411764705,0.6102941176470589,6.328716039657593,1.9989492893218994
14,0.04248371389177111,0.6499811808268229,0.03639053304990133,1.0,1.0,0.20597770478990343,0.140625,0.578125,0.040704092558692485,0.7901265200446633,0.039334900238934684,0.20175255835056305,0.17647058823529413,0.5073529411764706,5.465529441833496,1.8365283012390137
15,0.04004189040925768,1.0259469350179036,0.04239225387573242,1.0,1.0,0.1993490589989556,0.11631944444444445,0.4513888888888889,0.03834457607830272,1.145816915175494,0.04554079210056978,0.1958177089691162,0.16911764705882354,0.4411764705882353,5.530058145523071,1.8075494766235352
16,0.03825624121559991,1.5048549440171983,0.047318852610058255,1.0,1.0,0.1943659649954902,0.0920138888888889,0.4010416666666667,0.03700310342452105,1.6372480953440947,0.05056469230090871,0.19236190617084503,0.14705882352941177,0.40441176470588236,5.557800531387329,1.8340179920196533
17,0.03734085957209269,1.9415111541748047,0.05292445421218872,1.0,1.0,0.19283327791425917,0.09027777777777778,0.359375,0.03520731014363906,2.0023034039665673,0.05584647374994615,0.1876361072063446,0.125,0.375,5.604512929916382,1.853794813156128
18,0.03564516372150845,2.3172278934054904,0.05775636434555054,1.0,1.0,0.18835645251803929,0.08506944444444445,0.3263888888888889,0.03382637220270494,2.24689775354722,0.06125862458172966,0.18391947448253632,0.1323529411764706,0.3235294117647059,5.515383720397949,1.7904026508331299
19,0.03500186734729343,2.524527655707465,0.06337823470433553,1.0,1.0,0.18657935990227592,0.0763888888888889,0.28125,0.032358674442066866,2.443976682775161,0.06670036736656637,0.17988517880439758,0.10294117647058823,0.2867647058823529,5.556772947311401,1.8325867652893066
