#['../main.py', '--dataset=alsomitra', '--epochs=100', '--batch-size=64', '--lr=1e-3', '--oracle-steps=30', '--oracle-restarts=40', '--constraint=AlsomitraProperty1', '--experiment-name=AlsomitraProperty1']
Epoch,Train-P-Loss,Train-R-Loss,Train-C-Loss,Train-P-Loss-Weight,Train-C-Loss-Weight,Train-P-Metric,Train-C-Acc,Train-C-Sec,Test-P-Loss,Test-R-Loss,Test-C-Loss,Test-P-Metric,Test-C-Acc,Test-C-Sec,Train-Time,Test-Time
0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6687584484324736,0.31135985430549173,0.34544793297262755,0.8177765011787415,0.0,0.0,0.0,1.683746337890625
1,0.5747287538316515,0.25257441732618546,0.29422860675387913,1.0,1.0,0.7572041087680392,0.0,0.0,0.44495495627908144,0.1809672888587503,0.22980725063997157,0.6670494675636292,0.0,0.0,4.808096408843994,1.5855236053466797
2,0.35319831636216903,0.12731491194831002,0.17376033465067545,1.0,1.0,0.5916713608635796,0.008680555555555556,0.0,0.2524622468387379,0.07475348781136905,0.11832837497486788,0.5024561882019043,0.11029411764705882,0.0,4.808948516845703,1.584902048110962
3,0.1825934648513794,0.0470159285598331,0.07856461074617174,1.0,1.0,0.42401531007554794,0.4652777777777778,0.043402777777777776,0.13789695851943073,0.025114012115141925,0.0495032177251928,0.37134480476379395,0.8897058823529411,0.5294117647058824,4.891437530517578,1.5204927921295166
4,0.11208226945665148,0.012861471209261153,0.030828661388821073,1.0,1.0,0.3335791163974338,0.9739583333333334,0.8246527777777778,0.1141207638908835,0.0076580450815313,0.022514381829430077,0.33781763911247253,0.9779411764705882,0.8308823529411765,4.7388200759887695,1.5835316181182861
5,0.10260653495788574,0.0052571747865941786,0.017161463697751362,1.0,1.0,0.3189854356977675,0.9965277777777778,0.9409722222222222,0.10540011349846334,0.005790224408402163,0.018070015837164485,0.32465383410453796,0.9852941176470589,0.9411764705882353,4.756862163543701,1.5340638160705566
6,0.09244144625133938,0.005195905764897664,0.017102342512872484,1.0,1.0,0.30319976806640625,1.0,0.984375,0.08671036187340231,0.006351005505113041,0.020442317513858572,0.2944662272930145,1.0,0.9411764705882353,4.780745983123779,1.5992834568023682
7,0.07823485798305935,0.005530420276853774,0.020603083901935153,1.0,1.0,0.27874000867207843,1.0,0.9930555555555556,0.07486751500297995,0.004915571388076334,0.02286389294792624,0.27361929416656494,1.0,1.0,5.188798904418945,1.7825937271118164
8,0.0709865755505032,0.005484364926815033,0.021662173999680415,1.0,1.0,0.2662239869435628,1.0,1.0,0.06516901885761935,0.0042432090815375835,0.021264009615954232,0.2552822530269623,1.0,1.0,4.923671007156372,1.5602338314056396
9,0.062427779038747154,0.00468849390745163,0.020861897203657363,1.0,1.0,0.2492600811852349,1.0,1.0,0.05644027275197646,0.004627606448005228,0.020348487531437594,0.2375716120004654,1.0,1.0,5.02910304069519,1.5232839584350586
